Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS2_Add_Site,Chrome 73.0.3683.86,,2019-04-02 15:38:34,2019-04-02 15:38:57,22.968s,PASSED
,,,,,,
Test Cases/Login_Tests/TC1_Login_Valid,Chrome 73.0.3683.86,,2019-04-02 15:38:35,2019-04-02 15:38:47,12.147s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-02 15:38:36,2019-04-02 15:38:42,6.182s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-02 15:38:42,2019-04-02 15:38:43,1.176s,PASSED
startPage = getUrl(),Chrome 73.0.3683.86,,2019-04-02 15:38:43,2019-04-02 15:38:43,0.282s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Chrome 73.0.3683.86,,2019-04-02 15:38:43,2019-04-02 15:38:43,0.029s,PASSED
"setText(findTestObject(""Page_Login/input_Username""), Username)",Chrome 73.0.3683.86,,2019-04-02 15:38:43,2019-04-02 15:38:44,0.734s,PASSED
"setText(findTestObject(""Page_Login/input_Password""), Password)",Chrome 73.0.3683.86,,2019-04-02 15:38:44,2019-04-02 15:38:44,0.349s,PASSED
"click(findTestObject(""Page_Login/a_Login""))",Chrome 73.0.3683.86,,2019-04-02 15:38:44,2019-04-02 15:38:45,0.167s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-02 15:38:45,2019-04-02 15:38:47,2.050s,PASSED
signedInPage = getUrl(),Chrome 73.0.3683.86,,2019-04-02 15:38:47,2019-04-02 15:38:47,0.065s,PASSED
"assert signedInPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site""",Chrome 73.0.3683.86,,2019-04-02 15:38:47,2019-04-02 15:38:47,0.001s,PASSED
,,,,,,
Test Cases/Sites/TC3_Add_Site,Chrome 73.0.3683.86,,2019-04-02 15:38:47,2019-04-02 15:38:56,9.218s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Add Site""))",Chrome 73.0.3683.86,,2019-04-02 15:38:48,2019-04-02 15:38:48,0.404s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Site Name""))",Chrome 73.0.3683.86,,2019-04-02 15:38:48,2019-04-02 15:38:48,0.410s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input__siteName""), ""in and out 4"")",Chrome 73.0.3683.86,,2019-04-02 15:38:48,2019-04-02 15:38:49,0.901s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Address""))",Chrome 73.0.3683.86,,2019-04-02 15:38:49,2019-04-02 15:38:50,0.295s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Site Name_address""), ""123 potato"")",Chrome 73.0.3683.86,,2019-04-02 15:38:50,2019-04-02 15:38:50,0.450s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter City""))",Chrome 73.0.3683.86,,2019-04-02 15:38:50,2019-04-02 15:38:50,0.172s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Address_city""), ""irvine"")",Chrome 73.0.3683.86,,2019-04-02 15:38:50,2019-04-02 15:38:51,0.358s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter State""))",Chrome 73.0.3683.86,,2019-04-02 15:38:51,2019-04-02 15:38:51,0.218s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter City_state""), ""california"")",Chrome 73.0.3683.86,,2019-04-02 15:38:51,2019-04-02 15:38:51,0.470s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_NEXT""))",Chrome 73.0.3683.86,,2019-04-02 15:38:51,2019-04-02 15:38:52,0.373s,PASSED
