Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS2_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:34:51,2019-04-04 09:35:11,20.091s,FAILED
,,,,,,
Test Cases/Login_Tests/TC1_Login_Valid,Chrome 73.0.3683.86,,2019-04-04 09:34:52,2019-04-04 09:35:02,9.963s,FAILED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-04 09:34:53,2019-04-04 09:34:58,5.341s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-04 09:34:58,2019-04-04 09:35:00,1.348s,PASSED
startPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:35:00,2019-04-04 09:35:00,0.314s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Chrome 73.0.3683.86,,2019-04-04 09:35:00,2019-04-04 09:35:00,0.009s,PASSED
"setText(findTestObject(""Page_Login/input_Username""), Username)",Chrome 73.0.3683.86,,2019-04-04 09:35:00,2019-04-04 09:35:01,0.673s,PASSED
"setText(findTestObject(""Page_Login/input_Password""), Password)",Chrome 73.0.3683.86,,2019-04-04 09:35:01,2019-04-04 09:35:01,0.300s,PASSED
"click(findTestObject(""Page_Login/a_Login""))",Chrome 73.0.3683.86,,2019-04-04 09:35:01,2019-04-04 09:35:02,0.955s,FAILED
,,,,,,
Test Cases/Sites/TC4_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:35:02,2019-04-04 09:35:10,8.151s,FAILED
"click(findTestObject(""Page_HomePage/Add Site/a_Add Site""))",Chrome 73.0.3683.86,,2019-04-04 09:35:03,2019-04-04 09:35:04,0.433s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Site Name""))",Chrome 73.0.3683.86,,2019-04-04 09:35:04,2019-04-04 09:35:04,0.313s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input__siteName""), findTestData(""Sites/TD_Sites"").getValue(1, 1))",Chrome 73.0.3683.86,,2019-04-04 09:35:04,2019-04-04 09:35:07,3.210s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Address""))",Chrome 73.0.3683.86,,2019-04-04 09:35:07,2019-04-04 09:35:08,0.379s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Site Name_address""), ""123 potato"")",Chrome 73.0.3683.86,,2019-04-04 09:35:08,2019-04-04 09:35:08,0.529s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter City""))",Chrome 73.0.3683.86,,2019-04-04 09:35:08,2019-04-04 09:35:08,0.322s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Address_city""), ""irvine"")",Chrome 73.0.3683.86,,2019-04-04 09:35:08,2019-04-04 09:35:09,0.392s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter State""))",Chrome 73.0.3683.86,,2019-04-04 09:35:09,2019-04-04 09:35:09,0.213s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter City_state""), ""california"")",Chrome 73.0.3683.86,,2019-04-04 09:35:09,2019-04-04 09:35:10,0.448s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_NEXT""))",Chrome 73.0.3683.86,,2019-04-04 09:35:10,2019-04-04 09:35:10,0.198s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_NEXT_country""), ""united states"")",Chrome 73.0.3683.86,,2019-04-04 09:35:10,2019-04-04 09:35:10,0.485s,FAILED
,,,,,,
Test Cases/Logout/TC3_Logout,Chrome 73.0.3683.86,,2019-04-04 09:35:10,2019-04-04 09:35:11,1.261s,FAILED
"click(findTestObject(""Page_HomePage/Profile/i_Add Site_upDownIcon""))",Chrome 73.0.3683.86,,2019-04-04 09:35:11,2019-04-04 09:35:11,0.603s,FAILED
