Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS2_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:41:17,2019-04-04 09:41:41,23.811s,FAILED
,,,,,,
Test Cases/Login_Tests/TC1_Login_Valid,Chrome 73.0.3683.86,,2019-04-04 09:41:18,2019-04-04 09:41:29,10.829s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-04 09:41:19,2019-04-04 09:41:24,5.243s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-04 09:41:24,2019-04-04 09:41:25,1.088s,PASSED
startPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:41:25,2019-04-04 09:41:25,0.342s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Chrome 73.0.3683.86,,2019-04-04 09:41:25,2019-04-04 09:41:25,0.003s,PASSED
"setText(findTestObject(""Page_Login/input_Username""), Username)",Chrome 73.0.3683.86,,2019-04-04 09:41:25,2019-04-04 09:41:26,0.574s,PASSED
"setText(findTestObject(""Page_Login/input_Password""), Password)",Chrome 73.0.3683.86,,2019-04-04 09:41:26,2019-04-04 09:41:26,0.297s,PASSED
"click(findTestObject(""Page_Login/a_Login""))",Chrome 73.0.3683.86,,2019-04-04 09:41:26,2019-04-04 09:41:26,0.171s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-04 09:41:26,2019-04-04 09:41:29,2.054s,PASSED
signedInPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:41:29,2019-04-04 09:41:29,0.033s,PASSED
"assert signedInPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site""",Chrome 73.0.3683.86,,2019-04-04 09:41:29,2019-04-04 09:41:29,0.000s,PASSED
,,,,,,
Test Cases/Sites/TC4_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:41:29,2019-04-04 09:41:39,10.854s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Add Site""))",Chrome 73.0.3683.86,,2019-04-04 09:41:29,2019-04-04 09:41:29,0.267s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Site Name""))",Chrome 73.0.3683.86,,2019-04-04 09:41:29,2019-04-04 09:41:30,0.217s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input__siteName""), findTestData(""Sites/TD_Sites"").getValue(1, 1))",Chrome 73.0.3683.86,,2019-04-04 09:41:30,2019-04-04 09:41:32,2.089s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Address""))",Chrome 73.0.3683.86,,2019-04-04 09:41:32,2019-04-04 09:41:32,0.311s,PASSED
