Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS2_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:40:03,2019-04-04 09:40:25,21.935s,FAILED
,,,,,,
Test Cases/Login_Tests/TC1_Login_Valid,Chrome 73.0.3683.86,,2019-04-04 09:40:04,2019-04-04 09:40:16,12.459s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-04 09:40:05,2019-04-04 09:40:10,5.484s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-04 09:40:10,2019-04-04 09:40:13,2.104s,PASSED
startPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:40:13,2019-04-04 09:40:13,0.389s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Chrome 73.0.3683.86,,2019-04-04 09:40:13,2019-04-04 09:40:13,0.003s,PASSED
"setText(findTestObject(""Page_Login/input_Username""), Username)",Chrome 73.0.3683.86,,2019-04-04 09:40:13,2019-04-04 09:40:14,0.763s,PASSED
"setText(findTestObject(""Page_Login/input_Password""), Password)",Chrome 73.0.3683.86,,2019-04-04 09:40:14,2019-04-04 09:40:14,0.376s,PASSED
"click(findTestObject(""Page_Login/a_Login""))",Chrome 73.0.3683.86,,2019-04-04 09:40:14,2019-04-04 09:40:14,0.263s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-04 09:40:14,2019-04-04 09:40:16,2.047s,PASSED
signedInPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:40:16,2019-04-04 09:40:16,0.034s,PASSED
"assert signedInPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site""",Chrome 73.0.3683.86,,2019-04-04 09:40:16,2019-04-04 09:40:16,0.001s,PASSED
,,,,,,
Test Cases/Sites/TC4_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:40:16,2019-04-04 09:40:24,7.734s,FAILED
"click(findTestObject(""Page_HomePage/Add Site/a_Add Site""))",Chrome 73.0.3683.86,,2019-04-04 09:40:17,2019-04-04 09:40:17,0.306s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Site Name""))",Chrome 73.0.3683.86,,2019-04-04 09:40:17,2019-04-04 09:40:18,0.343s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input__siteName""), findTestData(""Sites/TD_Sites"").getValue(1, 1))",Chrome 73.0.3683.86,,2019-04-04 09:40:18,2019-04-04 09:40:20,2.517s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Address""))",Chrome 73.0.3683.86,,2019-04-04 09:40:20,2019-04-04 09:40:21,0.278s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Site Name_address""), findTestData(""Sites/TD_Sites"").getValue(2, 1))",Chrome 73.0.3683.86,,2019-04-04 09:40:21,2019-04-04 09:40:21,0.760s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter City""))",Chrome 73.0.3683.86,,2019-04-04 09:40:21,2019-04-04 09:40:22,0.244s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Address_city""), findTestData(""Sites/TD_Sites"").getValue(3, 1))",Chrome 73.0.3683.86,,2019-04-04 09:40:22,2019-04-04 09:40:22,0.903s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter State""))",Chrome 73.0.3683.86,,2019-04-04 09:40:22,2019-04-04 09:40:23,0.236s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter City_state""), findTestData(""Sites/TD_Sites"").getValue(4, 1))",Chrome 73.0.3683.86,,2019-04-04 09:40:23,2019-04-04 09:40:23,0.463s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_NEXT""))",Chrome 73.0.3683.86,,2019-04-04 09:40:23,2019-04-04 09:40:23,0.204s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_NEXT_country""), findTestData(""Sites/TD_Sites"").getValue(5, 1))",Chrome 73.0.3683.86,,2019-04-04 09:40:23,2019-04-04 09:40:24,0.761s,FAILED
,,,,,,
Test Cases/Logout/TC3_Logout,Chrome 73.0.3683.86,,2019-04-04 09:40:24,2019-04-04 09:40:25,1.111s,FAILED
"click(findTestObject(""Page_HomePage/Profile/i_Add Site_upDownIcon""))",Chrome 73.0.3683.86,,2019-04-04 09:40:25,2019-04-04 09:40:25,0.521s,FAILED
