Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS2_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:33:14,2019-04-04 09:33:41,26.514s,ERROR
,,,,,,
Test Cases/Login_Tests/TC1_Login_Valid,Chrome 73.0.3683.86,,2019-04-04 09:33:15,2019-04-04 09:33:27,12.490s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-04 09:33:16,2019-04-04 09:33:22,5.857s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-04 09:33:22,2019-04-04 09:33:23,1.307s,PASSED
startPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:33:23,2019-04-04 09:33:23,0.245s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Chrome 73.0.3683.86,,2019-04-04 09:33:23,2019-04-04 09:33:23,0.003s,PASSED
"setText(findTestObject(""Page_Login/input_Username""), Username)",Chrome 73.0.3683.86,,2019-04-04 09:33:23,2019-04-04 09:33:24,0.880s,PASSED
"setText(findTestObject(""Page_Login/input_Password""), Password)",Chrome 73.0.3683.86,,2019-04-04 09:33:24,2019-04-04 09:33:25,0.431s,PASSED
"click(findTestObject(""Page_Login/a_Login""))",Chrome 73.0.3683.86,,2019-04-04 09:33:25,2019-04-04 09:33:25,0.591s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-04 09:33:25,2019-04-04 09:33:27,2.052s,PASSED
signedInPage = getUrl(),Chrome 73.0.3683.86,,2019-04-04 09:33:27,2019-04-04 09:33:27,0.056s,PASSED
"assert signedInPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site""",Chrome 73.0.3683.86,,2019-04-04 09:33:27,2019-04-04 09:33:27,0.001s,PASSED
,,,,,,
Test Cases/Sites/TC4_Add_Site,Chrome 73.0.3683.86,,2019-04-04 09:33:27,2019-04-04 09:33:39,11.978s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Add Site""))",Chrome 73.0.3683.86,,2019-04-04 09:33:28,2019-04-04 09:33:28,0.288s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Site Name""))",Chrome 73.0.3683.86,,2019-04-04 09:33:28,2019-04-04 09:33:29,0.271s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input__siteName""), findTestData(""Sites/TD_Sites"").getValue(1, 1))",Chrome 73.0.3683.86,,2019-04-04 09:33:29,2019-04-04 09:33:31,2.690s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Address""))",Chrome 73.0.3683.86,,2019-04-04 09:33:31,2019-04-04 09:33:32,0.274s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Site Name_address""), ""123 potato"")",Chrome 73.0.3683.86,,2019-04-04 09:33:32,2019-04-04 09:33:32,0.525s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter City""))",Chrome 73.0.3683.86,,2019-04-04 09:33:32,2019-04-04 09:33:32,0.419s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Address_city""), ""irvine"")",Chrome 73.0.3683.86,,2019-04-04 09:33:32,2019-04-04 09:33:33,0.534s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter State""))",Chrome 73.0.3683.86,,2019-04-04 09:33:33,2019-04-04 09:33:33,0.176s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter City_state""), ""california"")",Chrome 73.0.3683.86,,2019-04-04 09:33:33,2019-04-04 09:33:34,0.733s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_NEXT""))",Chrome 73.0.3683.86,,2019-04-04 09:33:34,2019-04-04 09:33:34,0.173s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_NEXT_country""), ""united states"")",Chrome 73.0.3683.86,,2019-04-04 09:33:34,2019-04-04 09:33:35,1.033s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter ZIP Code""))",Chrome 73.0.3683.86,,2019-04-04 09:33:35,2019-04-04 09:33:35,0.301s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Country_ZIP""), ""95148"")",Chrome 73.0.3683.86,,2019-04-04 09:33:35,2019-04-04 09:33:36,0.659s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Contact Name""))",Chrome 73.0.3683.86,,2019-04-04 09:33:36,2019-04-04 09:33:36,0.387s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter ZIP Code_cName""), ""Kayla"")",Chrome 73.0.3683.86,,2019-04-04 09:33:36,2019-04-04 09:33:37,0.592s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/label_Enter Location Phone Number""))",Chrome 73.0.3683.86,,2019-04-04 09:33:37,2019-04-04 09:33:37,0.262s,PASSED
"setText(findTestObject(""Page_HomePage/Add Site/input_Enter Contact Name_locationPhone""), ""(123)-456-7899"")",Chrome 73.0.3683.86,,2019-04-04 09:33:37,2019-04-04 09:33:38,0.537s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_NEXT_1""))",Chrome 73.0.3683.86,,2019-04-04 09:33:38,2019-04-04 09:33:38,0.178s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Next (1)""))",Chrome 73.0.3683.86,,2019-04-04 09:33:38,2019-04-04 09:33:38,0.268s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Copy to all""))",Chrome 73.0.3683.86,,2019-04-04 09:33:38,2019-04-04 09:33:39,0.329s,PASSED
"verifyElementPresent(findTestObject(""Page_HomePage/Add Site/div_Success""), 20)",Chrome 73.0.3683.86,,2019-04-04 09:33:39,2019-04-04 09:33:39,0.137s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Next_1 (1)""))",Chrome 73.0.3683.86,,2019-04-04 09:33:39,2019-04-04 09:33:39,0.236s,PASSED
"click(findTestObject(""Page_HomePage/Add Site/a_Finish""))",Chrome 73.0.3683.86,,2019-04-04 09:33:39,2019-04-04 09:33:39,0.192s,PASSED
"verifyElementPresent(findTestObject(""Page_HomePage/Add Site/div_Success""), 20)",Chrome 73.0.3683.86,,2019-04-04 09:33:39,2019-04-04 09:33:39,0.086s,PASSED
,,,,,,
Test Cases/Logout/TC3_Logout,Chrome 73.0.3683.86,,2019-04-04 09:33:39,2019-04-04 09:33:41,1.321s,ERROR
"webUI.navigateToURL(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site"")",Chrome 73.0.3683.86,,2019-04-04 09:33:41,2019-04-04 09:33:41,0.151s,ERROR
